epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5006.12,0.22117,0.45497,0.12056,0,0,0,0,0.88636,1.70425,0.55907,5.07115e-05,5.07115e-05,5.07115e-05
89,5058.15,0.26063,0.51806,0.15555,0,0,0,0,0.88108,1.70286,0.55303,4.47606e-05,4.47606e-05,4.47606e-05
90,5110.54,0.37492,0.64637,0.21686,0,0,0,0,0.8885,1.70935,0.57599,3.9264e-05,3.9264e-05,3.9264e-05
91,5161.57,0.23182,0.41604,0.13727,0,0,0,0,0.91403,1.68026,0.54329,3.4227e-05,3.4227e-05,3.4227e-05
92,5210.93,0.22263,0.41907,0.13208,0,0,0,0,0.9124,1.68058,0.54216,2.96546e-05,2.96546e-05,2.96546e-05
93,5259.87,0.20235,0.36925,0.12258,0,0,0,0,0.92099,1.67711,0.54887,2.55513e-05,2.55513e-05,2.55513e-05
94,5308.9,0.17141,0.35209,0.10034,0,0,0,0,0.91027,1.68645,0.54094,2.19212e-05,2.19212e-05,2.19212e-05
95,5356.46,0.20558,0.3443,0.11828,0,0,0,0,0.91356,1.68206,0.54248,1.87678e-05,1.87678e-05,1.87678e-05
96,5404.14,0.23914,0.38557,0.14326,0,0,0,0,0.91309,1.68351,0.54145,1.60943e-05,1.60943e-05,1.60943e-05
97,5452.08,0.26142,0.42845,0.16298,0,0,0,0,0.91369,1.68074,0.54119,1.39032e-05,1.39032e-05,1.39032e-05
98,5500.12,0.22186,0.39223,0.12519,0,0,0,0,0.91682,1.68168,0.54278,1.21968e-05,1.21968e-05,1.21968e-05
99,5549.06,0.22437,0.42076,0.15237,0,0,0,0,0.92318,1.67816,0.54791,1.09768e-05,1.09768e-05,1.09768e-05
100,5598.14,0.24775,0.39086,0.13793,0,0,0,0,0.90619,1.68708,0.5377,1.02443e-05,1.02443e-05,1.02443e-05
